Grupo1	Grupo2	Metrica	G1_variable_1	G1_variable_2	G1_variable_3	G1_variable_4	G2_variable_1	G2_variable_2	G2_variable_3	G2_variable_4	Wilcoxon_estadistico	Wilcoxon_valor-p	fdr_bh	p95-test
t_wa_prc_yesSC_7_sum	t_wa_prc_yesSC_8_sum	prc	sum	7	yesSC	[]	sum	8	yesSC	[]	13.5	0.5281061253470647	1.0	Sin_diferencia
t_wa_prc_noSC_7_sum	t_wa_prc_noSC_8_sum	prc	sum	7	noSC	[]	sum	8	noSC	[]	16.0	0.779434528427275	1.0	Sin_diferencia
t_wa_prc_yesSC_7_con	t_wa_prc_yesSC_8_con	prc	con	7	yesSC	[]	con	8	yesSC	[]	14.0	0.5754030229127536	1.0	Sin_diferencia
t_wa_prc_noSC_7_con	t_wa_prc_noSC_8_con	prc	con	7	noSC	[]	con	8	noSC	[]	16.0	0.49609375	1.0	Sin_diferencia
t_wa_precision_yesSC_7_sum	t_wa_precision_yesSC_8_sum	precision	sum	7	yesSC	[]	sum	8	yesSC	[]	12.0	0.4008141693829344	1.0	Sin_diferencia
t_wa_precision_noSC_7_sum	t_wa_precision_noSC_8_sum	precision	sum	7	noSC	[]	sum	8	noSC	[]	21.0	0.91015625	1.0	Sin_diferencia
t_wa_precision_yesSC_7_con	t_wa_precision_yesSC_8_con	precision	con	7	yesSC	[]	con	8	yesSC	[]	16.5	0.8334336202223243	1.0	Sin_diferencia
t_wa_precision_noSC_7_con	t_wa_precision_noSC_8_con	precision	con	7	noSC	[]	con	8	noSC	[]	22.0	1.0	1.0	Sin_diferencia
t_wa_recall_yesSC_7_sum	t_wa_recall_yesSC_8_sum	recall	sum	7	yesSC	[]	sum	8	yesSC	[]	14.0	0.359375	1.0	Sin_diferencia
t_wa_recall_noSC_7_sum	t_wa_recall_noSC_8_sum	recall	sum	7	noSC	[]	sum	8	noSC	[]	20.0	0.8203125	1.0	Sin_diferencia
t_wa_recall_yesSC_7_con	t_wa_recall_yesSC_8_con	recall	con	7	yesSC	[]	con	8	yesSC	[]	17.0	0.8886378608950078	1.0	Sin_diferencia
t_wa_recall_noSC_7_con	t_wa_recall_noSC_8_con	recall	con	7	noSC	[]	con	8	noSC	[]	19.0	0.734375	1.0	Sin_diferencia
t_wa_f_yesSC_7_sum	t_wa_f_yesSC_8_sum	f	sum	7	yesSC	[]	sum	8	yesSC	[]	14.0	0.359375	1.0	Sin_diferencia
t_wa_f_noSC_7_sum	t_wa_f_noSC_8_sum	f	sum	7	noSC	[]	sum	8	noSC	[]	21.0	0.91015625	1.0	Sin_diferencia
t_wa_f_yesSC_7_con	t_wa_f_yesSC_8_con	f	con	7	yesSC	[]	con	8	yesSC	[]	17.0	0.8886378608950078	1.0	Sin_diferencia
t_wa_f_noSC_7_con	t_wa_f_noSC_8_con	f	con	7	noSC	[]	con	8	noSC	[]	19.0	0.734375	1.0	Sin_diferencia
t_wa_roc_yesSC_7_sum	t_wa_roc_yesSC_8_sum	roc	sum	7	yesSC	[]	sum	8	yesSC	[]	21.0	0.91015625	1.0	Sin_diferencia
t_wa_roc_noSC_7_sum	t_wa_roc_noSC_8_sum	roc	sum	7	noSC	[]	sum	8	noSC	[]	22.0	1.0	1.0	Sin_diferencia
t_wa_roc_yesSC_7_con	t_wa_roc_yesSC_8_con	roc	con	7	yesSC	[]	con	8	yesSC	[]	21.5	1.0	1.0	Sin_diferencia
t_wa_roc_noSC_7_con	t_wa_roc_noSC_8_con	roc	con	7	noSC	[]	con	8	noSC	[]	16.0	0.779434528427275	1.0	Sin_diferencia
